Código CNAE;Ordem;Seção;ClasseCNAE;Descrição da Atividade;situacao
47717;431;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.71-7;Comércio varejista de produtos farmacêuticos para uso humano e veterinário;0
47725;432;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.72-5;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;0
47733;433;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.73-3;Comércio varejista de artigos médicos e ortopédicos;0
47741;434;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.74-1;Comércio varejista de artigos de óptica;0
47814;435;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.81-4;Comércio varejista de artigos do vestuário e acessórios;0
47822;436;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.82-2;Comércio varejista de calçados e artigos de viagem;0
47831;437;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.83-1;Comércio varejista de jóias e relógios;0
47849;438;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.84-9;Comércio varejista de gás liqüefeito de petróleo (GLP);0
47857;439;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.85-7;Comércio varejista de artigos usados;1
47890;440;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.89-0;Comércio varejista de outros produtos novos não especificados anteriormente;0
47903;441;"Seção G - Comércio; reparação de veículos automotores e motocicletas";47.90-3;Comércio ambulante e outros tipos de comércio varejista;0
49116;442;Seção H - Transporte, armazenagem e correio;49.11-6;Transporte ferroviário de carga;0
49124;443;Seção H - Transporte, armazenagem e correio;49.12-4;Transporte metroferroviário de passageiros;1
49213;444;Seção H - Transporte, armazenagem e correio;49.21-3;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal e em região metropolitana;1
49221;445;Seção H - Transporte, armazenagem e correio;49.22-1;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, interestadual e internacional;1
49230;446;Seção H - Transporte, armazenagem e correio;49.23-0;Transporte rodoviário de táxi;0
49248;447;Seção H - Transporte, armazenagem e correio;49.24-8;Transporte escolar;1
49299;448;Seção H - Transporte, armazenagem e correio;49.29-9;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, e outros transportes rodoviários não especificados anteriormente;1
49302;449;Seção H - Transporte, armazenagem e correio;49.30-2;Transporte rodoviário de carga;0
49400;450;Seção H - Transporte, armazenagem e correio;49.40-0;Transporte dutoviário;0
49507;451;Seção H - Transporte, armazenagem e correio;49.50-7;Trens turísticos, teleféricos e similares;1
50114;452;Seção H - Transporte, armazenagem e correio;50.11-4;Transporte marítimo de cabotagem;0
50122;453;Seção H - Transporte, armazenagem e correio;50.12-2;Transporte marítimo de longo curso;0
50211;454;Seção H - Transporte, armazenagem e correio;50.21-1;Transporte por navegação interior de carga;0
50220;455;Seção H - Transporte, armazenagem e correio;50.22-0;Transporte por navegação interior de passageiros em linhas regulares;1
50301;456;Seção H - Transporte, armazenagem e correio;50.30-1;Navegação de apoio;0
50912;457;Seção H - Transporte, armazenagem e correio;50.91-2;Transporte por navegação de travessia;1
50998;458;Seção H - Transporte, armazenagem e correio;50.99-8;Transportes aquaviários não especificados anteriormente;1
51111;459;Seção H - Transporte, armazenagem e correio;51.11-1;Transporte aéreo de passageiros regular;0
51129;460;Seção H - Transporte, armazenagem e correio;51.12-9;Transporte aéreo de passageiros não-regular;0
51200;461;Seção H - Transporte, armazenagem e correio;51.20-0;Transporte aéreo de carga;0
51307;462;Seção H - Transporte, armazenagem e correio;51.30-7;Transporte espacial;0
52117;463;Seção H - Transporte, armazenagem e correio;52.11-7;Armazenamento;0
52125;464;Seção H - Transporte, armazenagem e correio;52.12-5;Carga e descarga;0
52214;465;Seção H - Transporte, armazenagem e correio;52.21-4;Concessionárias de rodovias, pontes, túneis e serviços relacionados;0
52222;466;Seção H - Transporte, armazenagem e correio;52.22-2;Terminais rodoviários e ferroviários;0
52231;467;Seção H - Transporte, armazenagem e correio;52.23-1;Estacionamento de veículos;0
52290;468;Seção H - Transporte, armazenagem e correio;52.29-0;Atividades auxiliares dos transportes terrestres não especificadas anteriormente;0
52311;469;Seção H - Transporte, armazenagem e correio;52.31-1;Gestão de portos e terminais;0
52320;470;Seção H - Transporte, armazenagem e correio;52.32-0;Atividades de agenciamento marítimo;0
52397;471;Seção H - Transporte, armazenagem e correio;52.39-7;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente;0
52401;472;Seção H - Transporte, armazenagem e correio;52.40-1;Atividades auxiliares dos transportes aéreos;0
52508;473;Seção H - Transporte, armazenagem e correio;52.50-8;Atividades relacionadas à organização do transporte de carga;0
53105;474;Seção H - Transporte, armazenagem e correio;53.10-5;Atividades de Correio;0
53202;475;Seção H - Transporte, armazenagem e correio;53.20-2;Atividades de malote e de entrega;0
55108;476;Seção I - Alojamento e alimentação;55.10-8;Hotéis e similares;0
55906;477;Seção I - Alojamento e alimentação;55.90-6;Outros tipos de alojamento não especificados anteriormente;0
56112;478;Seção I - Alojamento e alimentação;56.11-2;Restaurantes e outros estabelecimentos de serviços de alimentação e bebidas;0
56121;479;Seção I - Alojamento e alimentação;56.12-1;Serviços ambulantes de alimentação;0
56201;480;Seção I - Alojamento e alimentação;56.20-1;Serviços de catering, bufê e outros serviços de comida preparada;0
58115;481;Seção J - Informação e comunicação;58.11-5;Edição de livros;1
58123;482;Seção J - Informação e comunicação;58.12-3;Edição de jornais;0
58131;483;Seção J - Informação e comunicação;58.13-1;Edição de revistas;0
58191;484;Seção J - Informação e comunicação;58.19-1;Edição de cadastros, listas e outros produtos gráficos;0
58212;485;Seção J - Informação e comunicação;58.21-2;Edição integrada à impressão de livros;1
58221;486;Seção J - Informação e comunicação;58.22-1;Edição integrada à impressão de jornais;0
58239;487;Seção J - Informação e comunicação;58.23-9;Edição integrada à impressão de revistas;0
58298;488;Seção J - Informação e comunicação;58.29-8;Edição integrada à impressão de cadastros, listas e outros produtos gráficos;0
59111;489;Seção J - Informação e comunicação;59.11-1;Atividades de produção cinematográfica, de vídeos e de programas de televisão;0
59120;490;Seção J - Informação e comunicação;59.12-0;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão;0
59138;491;Seção J - Informação e comunicação;59.13-8;Distribuição cinematográfica, de vídeo e de programas de televisão;0
59146;492;Seção J - Informação e comunicação;59.14-6;Atividades de exibição cinematográfica;0
59201;493;Seção J - Informação e comunicação;59.20-1;Atividades de gravação de som e de edição de música;0
60101;494;Seção J - Informação e comunicação;60.10-1;Atividades de rádio;0
60217;495;Seção J - Informação e comunicação;60.21-7;Atividades de televisão aberta;0
60225;496;Seção J - Informação e comunicação;60.22-5;Programadoras e atividades relacionadas à televisão por assinatura;0
61108;497;Seção J - Informação e comunicação;61.10-8;Telecomunicações por fio;1
61205;498;Seção J - Informação e comunicação;61.20-5;Telecomunicações sem fio;1
61302;499;Seção J - Informação e comunicação;61.30-2;Telecomunicações por satélite;1
61418;500;Seção J - Informação e comunicação;61.41-8;Operadoras de televisão por assinatura por cabo;0
61426;501;Seção J - Informação e comunicação;61.42-6;Operadoras de televisão por assinatura por microondas;0
61434;502;Seção J - Informação e comunicação;61.43-4;Operadoras de televisão por assinatura por satélite;0
61906;503;Seção J - Informação e comunicação;61.90-6;Outras atividades de telecomunicações;1
62015;504;Seção J - Informação e comunicação;62.01-5;Desenvolvimento de programas de computador sob encomenda;0
62023;505;Seção J - Informação e comunicação;62.02-3;Desenvolvimento e licenciamento de programas de computador customizáveis;0
62031;506;Seção J - Informação e comunicação;62.03-1;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0
62040;507;Seção J - Informação e comunicação;62.04-0;Consultoria em tecnologia da informação;0
62091;508;Seção J - Informação e comunicação;62.09-1;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0
63119;509;Seção J - Informação e comunicação;63.11-9;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;0
63194;510;Seção J - Informação e comunicação;63.19-4;Portais, provedores de conteúdo e outros serviços de informação na internet;0
63917;511;Seção J - Informação e comunicação;63.91-7;Agências de notícias;0
63992;512;Seção J - Informação e comunicação;63.99-2;Outras atividades de prestação de serviços de informação não especificadas anteriormente;0
64107;513;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.10-7;Banco Central;0
64212;514;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.21-2;Bancos comerciais;0
64221;515;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.22-1;Bancos múltiplos, com carteira comercial;0
64239;516;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.23-9;Caixas econômicas;0
64247;517;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.24-7;Crédito cooperativo;0
64310;518;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.31-0;Bancos múltiplos, sem carteira comercial;0
64328;519;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.32-8;Bancos de investimento;0
64336;520;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.33-6;Bancos de desenvolvimento;0
64344;521;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.34-4;Agências de fomento;0
64352;522;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.35-2;Crédito imobiliário;0
64361;523;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.36-1;Sociedades de crédito, financiamento e investimento - financeiras;0
64379;524;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.37-9;Sociedades de crédito ao microempreendedor;0
64387;525;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.38-7;Bancos de câmbio e outras instituições de intermediação não-monetária;0
64409;526;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.40-9;Arrendamento mercantil;0
64506;527;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.50-6;Sociedades de capitalização;0
64611;528;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.61-1;Holdings de instituições financeiras;0
64620;529;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.62-0;Holdings de instituições não-financeiras;0
64638;530;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.63-8;Outras sociedades de participação, exceto holdings;0
64701;531;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.70-1;Fundos de investimento;0
64913;532;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.91-3;Sociedades de fomento mercantil - factoring;0
64921;533;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.92-1;Securitização de créditos;0
64930;534;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.93-0;Administração de consórcios para aquisição de bens e direitos;0
64999;535;Seção K - Atividades financeiras, de seguros e serviços relacionados;64.99-9;Outras atividades de serviços financeiros não especificadas anteriormente;0
65111;536;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.11-1;Seguros de vida;0
65120;537;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.12-0;Seguros não-vida;0
65201;538;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.20-1;Seguros-saúde;0
65308;539;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.30-8;Resseguros;0
65413;540;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.41-3;Previdência complementar fechada;0
65421;541;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.42-1;Previdência complementar aberta;0
65502;542;Seção K - Atividades financeiras, de seguros e serviços relacionados;65.50-2;Planos de saúde;0
66118;543;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.11-8;Administração de bolsas e mercados de balcão organizados;0
66126;544;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.12-6;Atividades de intermediários em transações de títulos, valores mobiliários e mercadorias;0
66134;545;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.13-4;Administração de cartões de crédito;0
66193;546;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.19-3;Atividades auxiliares dos serviços financeiros não especificadas anteriormente;0
66215;547;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.21-5;Avaliação de riscos e perdas;0
66223;548;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.22-3;Corretores e agentes de seguros, de planos de previdência complementar e de saúde;0
66291;549;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.29-1;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente;0
66304;550;Seção K - Atividades financeiras, de seguros e serviços relacionados;66.30-4;Atividades de administração de fundos por contrato ou comissão;0
68102;551;Seção L - Atividades imobiliárias;68.10-2;Atividades imobiliárias de imóveis próprios;0
68218;552;Seção L - Atividades imobiliárias;68.21-8;Intermediação na compra, venda e aluguel de imóveis;0
68226;553;Seção L - Atividades imobiliárias;68.22-6;Gestão e administração da propriedade imobiliária;0
69117;554;Seção M - Atividades profissionais, científicas e técnicas;69.11-7;Atividades jurídicas, exceto cartórios;0
69125;555;Seção M - Atividades profissionais, científicas e técnicas;69.12-5;Cartórios;0
69206;556;Seção M - Atividades profissionais, científicas e técnicas;69.20-6;Atividades de contabilidade, consultoria e auditoria contábil e tributária;0
70107;557;Seção M - Atividades profissionais, científicas e técnicas;70.10-7;Sedes de empresas e unidades administrativas locais;0
70204;558;Seção M - Atividades profissionais, científicas e técnicas;70.20-4;Atividades de consultoria em gestão empresarial;0
71111;559;Seção M - Atividades profissionais, científicas e técnicas;71.11-1;Serviços de arquitetura;0
71120;560;Seção M - Atividades profissionais, científicas e técnicas;71.12-0;Serviços de engenharia;0
71197;561;Seção M - Atividades profissionais, científicas e técnicas;71.19-7;Atividades técnicas relacionadas à arquitetura e engenharia;0
71201;562;Seção M - Atividades profissionais, científicas e técnicas;71.20-1;Testes e análises técnicas;0
72100;563;Seção M - Atividades profissionais, científicas e técnicas;72.10-0;Pesquisa e desenvolvimento experimental em ciências físicas e naturais;1
72207;564;Seção M - Atividades profissionais, científicas e técnicas;72.20-7;Pesquisa e desenvolvimento experimental em ciências sociais e humanas;1
73114;565;Seção M - Atividades profissionais, científicas e técnicas;73.11-4;Agências de publicidade;0
73122;566;Seção M - Atividades profissionais, científicas e técnicas;73.12-2;Agenciamento de espaços para publicidade, exceto em veículos de comunicação;0
73190;567;Seção M - Atividades profissionais, científicas e técnicas;73.19-0;Atividades de publicidade não especificadas anteriormente;0
73203;568;Seção M - Atividades profissionais, científicas e técnicas;73.20-3;Pesquisas de mercado e de opinião pública;0
74102;569;Seção M - Atividades profissionais, científicas e técnicas;74.10-2;Design e decoração de interiores;0
74200;570;Seção M - Atividades profissionais, científicas e técnicas;74.20-0;Atividades fotográficas e similares;0
74901;571;Seção M - Atividades profissionais, científicas e técnicas;74.90-1;Atividades profissionais, científicas e técnicas não especificadas anteriormente;0
75001;572;Seção M - Atividades profissionais, científicas e técnicas;75.00-1;Atividades veterinárias;0
77110;573;Seção N - Atividades administrativas e serviços complementares;77.11-0;Locação de automóveis sem condutor;0
77195;574;Seção N - Atividades administrativas e serviços complementares;77.19-5;Locação de meios de transporte, exceto automóveis, sem condutor;0
77217;575;Seção N - Atividades administrativas e serviços complementares;77.21-7;Aluguel de equipamentos recreativos e esportivos;0
77225;576;Seção N - Atividades administrativas e serviços complementares;77.22-5;Aluguel de fitas de vídeo, DVDs e similares;0
77233;577;Seção N - Atividades administrativas e serviços complementares;77.23-3;Aluguel de objetos do vestuário, jóias e acessórios;0
77292;578;Seção N - Atividades administrativas e serviços complementares;77.29-2;Aluguel de objetos pessoais e domésticos não especificados anteriormente;0
77314;579;Seção N - Atividades administrativas e serviços complementares;77.31-4;Aluguel de máquinas e equipamentos agrícolas sem operador;0
77322;580;Seção N - Atividades administrativas e serviços complementares;77.32-2;Aluguel de máquinas e equipamentos para construção sem operador;0
77331;581;Seção N - Atividades administrativas e serviços complementares;77.33-1;Aluguel de máquinas e equipamentos para escritório;0
77390;582;Seção N - Atividades administrativas e serviços complementares;77.39-0;Aluguel de máquinas e equipamentos não especificados anteriormente;0
77403;583;Seção N - Atividades administrativas e serviços complementares;77.40-3;Gestão de ativos intangíveis não-financeiros;0
78108;584;Seção N - Atividades administrativas e serviços complementares;78.10-8;Seleção e agenciamento de mão-de-obra;0
78205;585;Seção N - Atividades administrativas e serviços complementares;78.20-5;Locação de mão-de-obra temporária;0
78302;586;Seção N - Atividades administrativas e serviços complementares;78.30-2;Fornecimento e gestão de recursos humanos para terceiros;0
79112;587;Seção N - Atividades administrativas e serviços complementares;79.11-2;Agências de viagens;0
79121;588;Seção N - Atividades administrativas e serviços complementares;79.12-1;Operadores turísticos;0
79902;589;Seção N - Atividades administrativas e serviços complementares;79.90-2;Serviços de reservas e outros serviços de turismo não especificados anteriormente;0
80111;590;Seção N - Atividades administrativas e serviços complementares;80.11-1;Atividades de vigilância e segurança privada;0
80129;591;Seção N - Atividades administrativas e serviços complementares;80.12-9;Atividades de transporte de valores;0
80200;592;Seção N - Atividades administrativas e serviços complementares;80.20-0;Atividades de monitoramento de sistemas de segurança;0
80307;593;Seção N - Atividades administrativas e serviços complementares;80.30-7;Atividades de investigação particular;0
81117;594;Seção N - Atividades administrativas e serviços complementares;81.11-7;Serviços combinados para apoio a edifícios, exceto condomínios prediais;0
81125;595;Seção N - Atividades administrativas e serviços complementares;81.12-5;Condomínios prediais;0
81214;596;Seção N - Atividades administrativas e serviços complementares;81.21-4;Limpeza em prédios e em domicílios;0
81222;597;Seção N - Atividades administrativas e serviços complementares;81.22-2;Imunização e controle de pragas urbanas;1
81290;598;Seção N - Atividades administrativas e serviços complementares;81.29-0;Atividades de limpeza não especificadas anteriormente;1
81303;599;Seção N - Atividades administrativas e serviços complementares;81.30-3;Atividades paisagísticas;1
82113;600;Seção N - Atividades administrativas e serviços complementares;82.11-3;Serviços combinados de escritório e apoio administrativo;0
82199;601;Seção N - Atividades administrativas e serviços complementares;82.19-9;Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo;0
82202;602;Seção N - Atividades administrativas e serviços complementares;82.20-2;Atividades de teleatendimento;1
82300;603;Seção N - Atividades administrativas e serviços complementares;82.30-0;Atividades de organização de eventos, exceto culturais e esportivos;0
82911;604;Seção N - Atividades administrativas e serviços complementares;82.91-1;Atividades de cobrança e informações cadastrais;0
82920;605;Seção N - Atividades administrativas e serviços complementares;82.92-0;Envasamento e empacotamento sob contrato;0
82997;606;Seção N - Atividades administrativas e serviços complementares;82.99-7;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente;0
84116;607;Seção O - Administração pública, defesa e seguridade social;84.11-6;Administração pública em geral;0
84124;608;Seção O - Administração pública, defesa e seguridade social;84.12-4;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais;1
84132;609;Seção O - Administração pública, defesa e seguridade social;84.13-2;Regulação das atividades econômicas;0
84213;610;Seção O - Administração pública, defesa e seguridade social;84.21-3;Relações exteriores;0
84221;611;Seção O - Administração pública, defesa e seguridade social;84.22-1;Defesa;0
84230;612;Seção O - Administração pública, defesa e seguridade social;84.23-0;Justiça;0
84248;613;Seção O - Administração pública, defesa e seguridade social;84.24-8;Segurança e ordem pública;0
84256;614;Seção O - Administração pública, defesa e seguridade social;84.25-6;Defesa Civil;1
84302;615;Seção O - Administração pública, defesa e seguridade social;84.30-2;Seguridade social obrigatória;0
85112;616;Seção P - Educação;85.11-2;Educação infantil - creche;0
85121;617;Seção P - Educação;85.12-1;Educação infantil - pré-escola;0
85139;618;Seção P - Educação;85.13-9;Ensino fundamental;0
85201;619;Seção P - Educação;85.20-1;Ensino médio;0
85317;620;Seção P - Educação;85.31-7;Educação superior - graduação;1
85325;621;Seção P - Educação;85.32-5;Educação superior - graduação e pós-graduação;1
85333;622;Seção P - Educação;85.33-3;Educação superior - pós-graduação e extensão;1
85414;623;Seção P - Educação;85.41-4;Educação profissional de nível técnico;1
85422;624;Seção P - Educação;85.42-2;Educação profissional de nível tecnológico;1
85503;625;Seção P - Educação;85.50-3;Atividades de apoio à educação;1
85911;626;Seção P - Educação;85.91-1;Ensino de esportes;0
85929;627;Seção P - Educação;85.92-9;Ensino de arte e cultura;0
85937;628;Seção P - Educação;85.93-7;Ensino de idiomas;0
85996;629;Seção P - Educação;85.99-6;Atividades de ensino não especificadas anteriormente;0
86101;630;Seção Q - Saúde humana e serviços sociais;86.10-1;Atividades de atendimento hospitalar;0
86216;631;Seção Q - Saúde humana e serviços sociais;86.21-6;Serviços móveis de atendimento a urgências;0
86224;632;Seção Q - Saúde humana e serviços sociais;86.22-4;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências;0
86305;633;Seção Q - Saúde humana e serviços sociais;86.30-5;Atividades de atenção ambulatorial executadas por médicos e odontólogos;0
86402;634;Seção Q - Saúde humana e serviços sociais;86.40-2;Atividades de serviços de complementação diagnóstica e terapêutica;0
86500;635;Seção Q - Saúde humana e serviços sociais;86.50-0;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;0
86607;636;Seção Q - Saúde humana e serviços sociais;86.60-7;Atividades de apoio à gestão de saúde;0
86909;637;Seção Q - Saúde humana e serviços sociais;86.90-9;Atividades de atenção à saúde humana não especificadas anteriormente;0
87115;638;Seção Q - Saúde humana e serviços sociais;87.11-5;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares;0
87123;639;Seção Q - Saúde humana e serviços sociais;87.12-3;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;0
87204;640;Seção Q - Saúde humana e serviços sociais;87.20-4;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;0
87301;641;Seção Q - Saúde humana e serviços sociais;87.30-1;Atividades de assistência social prestadas em residências coletivas e particulares;0
88006;642;Seção Q - Saúde humana e serviços sociais;88.00-6;Serviços de assistência social sem alojamento;0
90019;643;Seção R - Artes, cultura, esporte e recreação;90.01-9;Artes cênicas, espetáculos e atividades complementares;0
90027;644;Seção R - Artes, cultura, esporte e recreação;90.02-7;Criação artística;0
90035;645;Seção R - Artes, cultura, esporte e recreação;90.03-5;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas;0
91015;646;Seção R - Artes, cultura, esporte e recreação;91.01-5;Atividades de bibliotecas e arquivos;1
91023;647;Seção R - Artes, cultura, esporte e recreação;91.02-3;Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares;1
91031;648;Seção R - Artes, cultura, esporte e recreação;91.03-1;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental;1
92003;649;Seção R - Artes, cultura, esporte e recreação;92.00-3;Atividades de exploração de jogos de azar e apostas;0
93115;650;Seção R - Artes, cultura, esporte e recreação;93.11-5;Gestão de instalações de esportes;0
93123;651;Seção R - Artes, cultura, esporte e recreação;93.12-3;Clubes sociais, esportivos e similares;0
93131;652;Seção R - Artes, cultura, esporte e recreação;93.13-1;Atividades de condicionamento físico;0
93191;653;Seção R - Artes, cultura, esporte e recreação;93.19-1;Atividades esportivas não especificadas anteriormente;0
93212;654;Seção R - Artes, cultura, esporte e recreação;93.21-2;Parques de diversão e parques temáticos;0
93298;655;Seção R - Artes, cultura, esporte e recreação;93.29-8;Atividades de recreação e lazer não especificadas anteriormente;0
94111;656;Seção S - Outras atividades de serviços;94.11-1;Atividades de organizações associativas patronais e empresariais;0
94120;657;Seção S - Outras atividades de serviços;94.12-0;Atividades de organizações associativas profissionais;0
94201;658;Seção S - Outras atividades de serviços;94.20-1;Atividades de organizações sindicais;0
94308;659;Seção S - Outras atividades de serviços;94.30-8;Atividades de associações de defesa de direitos sociais;1
94910;660;Seção S - Outras atividades de serviços;94.91-0;Atividades de organizações religiosas;0
94928;661;Seção S - Outras atividades de serviços;94.92-8;Atividades de organizações políticas;0
94936;662;Seção S - Outras atividades de serviços;94.93-6;Atividades de organizações associativas ligadas à cultura e à arte;0
94995;663;Seção S - Outras atividades de serviços;94.99-5;Atividades associativas não especificadas anteriormente;1
95118;664;Seção S - Outras atividades de serviços;95.11-8;Reparação e manutenção de computadores e de equipamentos periféricos;1
95126;665;Seção S - Outras atividades de serviços;95.12-6;Reparação e manutenção de equipamentos de comunicação;1
95215;666;Seção S - Outras atividades de serviços;95.21-5;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico;1
95291;667;Seção S - Outras atividades de serviços;95.29-1;Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente;1
96017;668;Seção S - Outras atividades de serviços;96.01-7;Lavanderias, tinturarias e toalheiros;0
96025;669;Seção S - Outras atividades de serviços;96.02-5;Cabeleireiros e outras atividades de tratamento de beleza;0
96033;670;Seção S - Outras atividades de serviços;96.03-3;Atividades funerárias e serviços relacionados;0
96092;671;Seção S - Outras atividades de serviços;96.09-2;Atividades de serviços pessoais não especificadas anteriormente;0
97005;672;Seção T - Serviços domésticos;97.00-5;Serviços domésticos;0
99008;673;Seção U - Organismos internacionais e outras instituições extraterritoriais;99.00-8;Organismos internacionais e outras instituições extraterritoriais;0
